Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Header.Length.1,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label,L7Protocol,ProtocolName
192.168.180.51-10.200.7.4-57740-3128-6,10.200.7.4,3128,192.168.180.51,57740,6,26/04/201711:11:17,205118,32,4,6494,3118,1460,6,202.9375,464.0353113,1460,51,779.5,735.0793608,46860.83133,175.5087316,5860.514286,23425.8491,103196,0,205118,6616.709677,24836.18008,103196,0,99727,33242.33333,55644.75039,97490,400,1,0,0,0,640,80,156.0077614,19.50097017,6,1460,260.8378378,514.4778644,264687.473,0,1,0,0,1,0,0,0,0,268.0833333,202.9375,779.5,640,0,0,0,0,0,0,32,6494,4,3118,245,255,31,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.180.51-10.200.7.4-57740-3128-6,10.200.7.4,3128,192.168.180.51,57740,6,26/04/201711:11:17,3,5,0,9991,0,2920,6,1998.2,1267.837214,0,0,0,0,3330333333,1666666.667,0.75,0.5,1,0,3,0.75,0.5,1,0,0,0,0,0,0,0,0,0,0,100,0,1666666.667,0,6,2920,1908.5,1155.078136,1334205.5,0,0,0,0,1,0,0,0,0,2290.2,1998.2,0,100,0,0,0,0,0,0,5,9991,0,0,353,-1,4,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.180.51-10.200.7.4-57740-3128-6,10.200.7.4,3128,192.168.180.51,57740,6,26/04/201711:11:17,131,3,0,5611,0,4145,6,1870.333333,2099.788164,0,0,0,0,42832061.07,22900.76336,65.5,91.21677477,130,1,131,65.5,91.21677477,130,1,0,0,0,0,0,0,0,0,0,60,0,22900.76336,0,6,4145,1767.75,1726.702131,2981500.25,0,0,0,0,1,0,0,0,0,2357,1870.333333,0,60,0,0,0,0,0,0,3,5611,0,0,353,-1,2,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.180.51-10.200.7.4-57740-3128-6,10.200.7.4,3128,192.168.180.51,57740,6,26/04/201711:11:17,6,3,0,5611,0,4380,6,1870.333333,2257.27941,0,0,0,0,935166666.7,5.00E+05,3,4.242640687,6,0,6,3,4.242640687,6,0,0,0,0,0,0,0,0,0,0,60,0,5.00E+05,0,6,4380,2497.75,2229.681648,4971480.25,0,0,0,0,1,0,0,0,0,3330.333333,1870.333333,0,60,0,0,0,0,0,0,3,5611,0,0,353,-1,2,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
172.19.1.45-10.200.7.6-50227-3128-6,10.200.7.6,3128,172.19.1.45,50227,6,26/04/201711:11:17,108338,123,0,192822,0,5840,0,1567.658537,959.8652299,0,0,0,0,1779818.716,1135.335709,888.0163934,5028.130154,53525,0,108338,888.0163934,5028.130154,53525,0,0,0,0,0,0,0,0,0,0,2508,0,1135.335709,0,0,5840,1555.016129,966.2658321,933669.6583,0,0,0,1,1,0,0,0,0,1567.658537,1567.658537,0,2508,0,0,0,0,0,0,123,192822,0,0,14600,-1,119,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
212.124.124.94-10.200.7.194-443-44447-6,212.124.124.94,443,10.200.7.194,44447,6,26/04/201711:11:17,202096,4,6,174,3130,137,0,43.5,63.76258046,1460,6,521.6666667,695.5230166,16348.66598,49.48143457,22455.11111,43251.08047,99333,1,202096,67365.33333,58342.707,101685,1,102562,20512.4,43442.89432,98215,104,0,0,0,0,92,120,19.79257383,29.68886074,0,1460,300.3636364,554.8821988,307894.2545,0,0,0,1,1,0,0,0,1,330.4,43.5,521.6666667,92,0,0,0,0,0,0,4,174,6,3130,14600,245,3,20,0,0,0,0,0,0,0,0,BENIGN,91,SSL
192.168.180.51-10.200.7.4-57741-3128-6,10.200.7.4,3128,192.168.180.51,57741,6,26/04/201711:11:17,202151,31,4,1861,3118,992,6,60.03225806,178.4919202,1460,51,779.5,735.0793608,24630.10324,173.1379019,5945.617647,23551.0657,99331,0,202151,6738.366667,25013.09756,99331,0,100509,33503,57050.41198,99377,106,1,0,0,0,620,80,153.3507131,19.78718878,6,1460,139.3888889,355.4102079,126316.4159,0,1,0,0,1,0,0,0,0,143.3714286,60.03225806,779.5,620,0,0,0,0,0,0,31,1861,4,3118,245,255,30,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.51-10.200.7.4-57741-3128-6,10.200.7.4,3128,192.168.180.51,57741,6,26/04/201711:11:17,1,2,0,998,0,992,6,499,697.2072862,0,0,0,0,9.98E+08,2.00E+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2.00E+06,0,6,992,663.3333333,569.2673654,324065.3333,0,1,0,0,1,0,0,0,0,995,499,0,40,0,0,0,0,0,0,2,998,0,0,353,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.51-10.200.7.4-57741-3128-6,10.200.7.4,3128,192.168.180.51,57741,6,26/04/201711:11:17,1,2,0,998,0,992,6,499,697.2072862,0,0,0,0,9.98E+08,2.00E+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2.00E+06,0,6,992,663.3333333,569.2673654,324065.3333,0,1,0,0,1,0,0,0,0,995,499,0,40,0,0,0,0,0,0,2,998,0,0,353,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
172.217.30.13-10.200.7.217-443-41526-6,172.217.30.13,443,10.200.7.217,41526,6,26/04/201711:11:17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2.00E+06,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,393,-1,0,32,0,0,0,0,0,0,0,0,BENIGN,126,GOOGLE
172.217.30.13-10.200.7.217-443-41526-6,172.217.30.13,443,10.200.7.217,41526,6,26/04/201711:11:17,620,2,5,126,0,63,63,63,0,0,0,0,0,203225.8065,11290.32258,103.3333333,238.5277063,590,0,0,0,0,0,0,30,7.5,8.544003745,19,1,1,0,0,0,64,184,3225.806452,8064.516129,0,63,23.625,32.60559768,1063.125,0,1,0,0,1,0,0,0,2,27,63,0,64,0,0,0,0,0,0,2,126,5,0,393,992,1,32,0,0,0,0,0,0,0,0,BENIGN,126,GOOGLE
192.168.180.37-10.200.7.9-1978-3128-6,10.200.7.9,3128,192.168.180.37,1978,6,26/04/201711:11:17,229417,64,13,55282,2010,4344,0,863.78125,1099.830932,1448,0,154.6153846,396.3181673,249728.66,335.6333663,3018.644737,14799.0798,95680,0,229411,3641.444444,16246.08021,95680,0,208179,17348.25,36562.30421,99437,110,1,0,0,0,2048,416,278.9679928,56.66537353,0,4344,735.0128205,1044.566765,1091119.727,0,1,0,0,1,0,0,0,0,744.5584416,863.78125,154.6153846,2048,0,0,0,0,0,0,64,55282,13,2010,108,32648,38,32,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.37-10.200.7.9-1978-3128-6,10.200.7.9,3128,192.168.180.37,1978,6,26/04/201711:11:17,13,2,0,0,0,0,0,0,0,0,0,0,0,0,153846.1538,13,0,13,13,13,13,0,13,13,0,0,0,0,0,0,0,0,0,64,0,153846.1538,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,215,-1,0,32,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.37-10.200.7.9-1978-3128-6,10.200.7.9,3128,192.168.180.37,1978,6,26/04/201711:11:17,94,2,0,0,0,0,0,0,0,0,0,0,0,0,21276.59574,94,0,94,94,94,94,0,94,94,0,0,0,0,0,0,0,0,0,64,0,21276.59574,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,215,-1,0,32,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.32.49-10.200.7.9-54500-3128-6,192.168.32.49,54500,10.200.7.9,3128,6,26/04/201711:11:17,10662,4,13,270,2802,258,0,67.5,127.0314922,924,0,215.5384615,403.8945026,288126.0551,1594.447571,666.375,2129.600585,8609,0,10662,3554,5609.640719,10031,249,9811,817.5833333,2459.825694,8609,0,0,0,0,0,92,320,375.1641343,1219.283437,0,924,170.6666667,351.7900443,123756.2353,0,0,0,1,0,0,0,0,3,180.7058824,67.5,215.5384615,92,0,0,0,0,0,0,4,270,13,2802,8192,108,3,20,0,0,0,0,0,0,0,0,BENIGN,126,GOOGLE
192.168.32.49-10.200.7.9-54500-3128-6,10.200.7.9,3128,192.168.32.49,54500,6,26/04/201711:11:17,100,2,0,12,0,6,6,6,0,0,0,0,0,120000,20000,100,0,100,100,100,100,0,100,100,0,0,0,0,0,0,0,0,0,40,0,20000,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,108,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
10.200.7.196-65.55.44.54-52798-443-6,65.55.44.54,443,10.200.7.196,52798,6,26/04/201711:11:17,275970,8,8,7701,1184,1436,0,962.625,631.8430948,709,0,148,252.5362775,32195.5285,57.97731637,18398,36254.21156,91220,0,275970,39424.28571,49106.42601,97785,1,187671,26810.14286,43535.74185,94419,0,0,0,0,0,256,280,28.98865819,28.98865819,0,1436,607.1176471,643.4984346,414090.2353,0,0,0,0,1,0,0,0,1,645.0625,962.625,148,256,0,0,0,0,0,0,8,7701,8,1184,516,364,6,32,0,0,0,0,0,0,0,0,BENIGN,91,SSL
192.168.72.43-10.200.7.7-55991-3128-6,192.168.72.43,55991,10.200.7.7,3128,6,26/04/201711:11:17,120170,7,0,940,0,461,0,134.2857143,223.204476,0,0,0,0,7822.25181,58.25081135,20028.33333,48275.89129,118567,0,120170,20028.33333,48275.89129,118567,0,0,0,0,0,0,0,0,0,0,164,0,58.25081135,0,0,461,117.5,212.030995,44957.14286,0,0,0,1,0,0,0,0,0,134.2857143,134.2857143,0,164,0,0,0,0,0,0,7,940,0,0,8192,-1,5,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.72.43-10.200.7.7-55989-3128-6,192.168.72.43,55989,10.200.7.7,3128,6,26/04/201711:11:17,169292,277,0,2360,0,439,0,8.519855596,36.82248549,0,0,0,0,13940.41065,1636.226165,613.3768116,1972.974711,19860,0,169292,613.3768116,1972.974711,19860,0,0,0,0,0,0,0,0,0,0,6068,0,1636.226165,0,0,439,8.489208633,36.75951055,1351.261616,0,0,0,1,0,0,0,0,0,8.519855596,8.519855596,0,6068,0,0,0,0,0,0,277,2360,0,0,8192,-1,249,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.180.51-10.200.7.4-57743-3128-6,192.168.180.51,57743,10.200.7.4,3128,6,26/04/201711:11:17,313980,7,41,3355,1989,1460,0,479.2857143,645.0968181,992,0,48.51219512,157.1971886,17020.19237,152.8759794,6680.425532,25237.59545,104280,0,209186,34864.33333,52661.8676,103106,86,313896,7847.4,27239.27633,104280,0,0,0,0,0,152,880,22.29441366,130.5815657,0,1460,109.0612245,309.8053427,95979.35034,0,0,0,1,0,0,0,0,5,111.3333333,479.2857143,48.51219512,152,0,0,0,0,0,0,7,3355,41,1989,8192,353,6,20,0,0,0,0,0,0,0,0,BENIGN,130,HTTP_CONNECT
192.168.180.51-10.200.7.4-57743-3128-6,10.200.7.4,3128,192.168.180.51,57743,6,26/04/201711:11:17,486,3,0,1004,0,992,6,334.6666667,569.2673654,0,0,0,0,2065843.621,6172.839506,243,328.0975465,475,11,486,243,328.0975465,475,11,0,0,0,0,0,0,0,0,0,60,0,6172.839506,0,6,992,252.5,493,243049,0,0,0,0,1,1,0,0,0,336.6666667,334.6666667,0,60,0,0,0,0,0,0,3,1004,0,0,353,-1,2,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.51-10.200.7.4-57743-3128-6,10.200.7.4,3128,192.168.180.51,57743,6,26/04/201711:11:17,1807,1,2,6,12,6,6,6,0,6,6,6,0,9961.26176,1660.210293,903.5,309.0056634,1122,685,0,0,0,0,0,1122,1122,0,1122,1122,0,0,0,0,20,40,553.4034311,1106.806862,6,6,6,0,0,0,0,0,0,1,1,0,0,2,8,6,6,20,0,0,0,0,0,0,1,6,2,12,353,252,0,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.51-10.200.7.4-57742-3128-6,192.168.180.51,57742,10.200.7.4,3128,6,26/04/201711:11:17,332779,5,42,1664,2028,1363,0,332.8,584.4148355,992,0,48.28571429,155.275253,11094.45007,141.2348736,7234.326087,27092.12017,110127,0,222208,55552,63032.7181,111480,611,332684,8114.243902,28608.7482,110127,0,0,0,0,0,112,900,15.02498655,126.209887,0,1363,76.91666667,240.6735083,57923.73759,0,0,0,1,0,0,0,0,8,78.55319149,332.8,48.28571429,112,0,0,0,0,0,0,5,1664,42,2028,8192,353,4,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.51-10.200.7.4-57742-3128-6,10.200.7.4,3128,192.168.180.51,57742,6,26/04/201711:11:17,1,2,0,998,0,992,6,499,697.2072862,0,0,0,0,9.98E+08,2.00E+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2.00E+06,0,6,992,663.3333333,569.2673654,324065.3333,0,1,0,0,1,0,0,0,0,995,499,0,40,0,0,0,0,0,0,2,998,0,0,353,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.180.51-10.200.7.4-57742-3128-6,192.168.180.51,57742,10.200.7.4,3128,6,26/04/201711:11:17,1291,2,0,12,0,6,6,6,0,0,0,0,0,9295.120062,1549.186677,1291,0,1291,1291,1291,1291,0,1291,1291,0,0,0,0,0,0,0,0,0,40,0,1549.186677,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,252,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.72.43-10.200.7.7-55994-3128-6,192.168.72.43,55994,10.200.7.7,3128,6,26/04/201711:11:17,39640,7,0,870,0,426,0,124.2857143,206.1275611,0,0,0,0,21947.52775,176.5893037,6606.666667,15396.802,38024,0,39640,6606.666667,15396.802,38024,0,0,0,0,0,0,0,0,0,0,164,0,176.5893037,0,0,426,108.75,195.8306484,38349.64286,0,0,0,1,0,0,0,0,0,124.2857143,124.2857143,0,164,0,0,0,0,0,0,7,870,0,0,8192,-1,5,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.72.43-10.200.7.7-55980-3128-6,192.168.72.43,55980,10.200.7.7,3128,6,26/04/201711:11:17,247289,15,0,1388,0,258,0,92.53333333,112.5197549,0,0,0,0,5612.865918,60.65777289,17663.5,36373.06449,123553,0,247289,17663.5,36373.06449,123553,0,0,0,0,0,0,0,0,0,0,324,0,60.65777289,0,0,258,86.75,111.1386521,12351.8,0,0,0,1,0,0,0,0,0,92.53333333,92.53333333,0,324,0,0,0,0,0,0,15,1388,0,0,8192,-1,13,20,0,0,0,0,0,0,0,0,BENIGN,124,YOUTUBE
179.1.4.251-10.200.7.217-443-37557-6,10.200.7.217,37557,179.1.4.251,443,6,26/04/201711:11:17,243047,21,17,922,9330,258,0,43.9047619,93.55902135,2048,0,548.8235294,647.042815,42181.14192,156.3483606,6568.837838,29999.5599,182523,0,243047,12152.35,40524.01131,182523,0,49652,3103.25,7938.189084,28749,0,0,0,0,0,688,560,86.40304139,69.94531922,0,2048,262.8717949,495.7646502,245782.5884,0,0,0,1,0,0,0,0,0,269.7894737,43.9047619,548.8235294,688,0,0,0,0,0,0,21,922,17,9330,14600,243,4,32,0,0,0,0,0,0,0,0,BENIGN,124,YOUTUBE
179.1.4.251-10.200.7.217-443-37557-6,10.200.7.217,37557,179.1.4.251,443,6,26/04/201711:11:17,10022,1,1,0,0,0,0,0,0,0,0,0,0,0,199.5609659,10022,0,10022,10022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,99.78048294,99.78048294,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,1000,243,0,32,0,0,0,0,0,0,0,0,BENIGN,124,YOUTUBE
192.168.180.51-10.200.7.4-57744-3128-6,192.168.180.51,57744,10.200.7.4,3128,6,26/04/201711:11:17,316245,6,41,1992,1987,1460,0,332,563.1678258,990,0,48.46341463,156.8971156,12582.01711,148.6189505,6874.891304,25709.41991,104997,0,210847,42169.4,56106.92122,104435,313,316116,7902.9,27466.61081,104997,0,0,0,0,0,132,880,18.97263198,129.6463185,0,1460,82.89583333,252.5721502,63792.69105,0,0,0,1,0,0,0,0,6,84.65957447,332,48.46341463,132,0,0,0,0,0,0,6,1992,41,1987,8192,353,5,20,0,0,0,0,0,0,0,0,BENIGN,130,HTTP_CONNECT
192.168.72.43-10.200.7.7-55973-3128-6,192.168.72.43,55973,10.200.7.7,3128,6,26/04/201711:11:17,251594,8,0,1502,0,1460,6,187.75,514.0666299,0,0,0,0,5969.93569,31.79726067,35942,81749.1124,220536,0,251594,35942,81749.1124,220536,0,0,0,0,0,0,0,0,0,0,160,0,31.79726067,0,6,1460,167.5555556,484.6666667,234901.7778,0,0,0,0,1,0,0,0,0,188.5,187.75,0,160,0,0,0,0,0,0,8,1502,0,0,256,-1,7,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
172.17.1.110-10.200.7.5-49450-3128-6,10.200.7.5,3128,172.17.1.110,49450,6,26/04/201711:11:18,46280,9,0,30,0,6,0,3.333333333,3.16227766,0,0,0,0,648.2281763,194.4684529,5785,14812.99208,42315,0,46280,5785,14812.99208,42315,0,0,0,0,0,0,0,0,0,0,228,0,194.4684529,0,0,6,3,3.16227766,10,0,0,0,1,1,0,0,0,0,3.333333333,3.333333333,0,228,0,0,0,0,0,0,9,30,0,0,14600,-1,5,20,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
